tensor_name,tensor_type,chunks,used_chunks,skipped_chunks,pred_none,pred_mean,pred_neighbor,pred_none_pct,pred_mean_pct,pred_neighbor_pct,skip_pct,model,classified_type
classifier_1_bias,bias,1,0,1,0,0,0,0.0,0.0,0.0,1.0,efficientnet_b7,bias
classifier_1_weight,weight,1250,0,1250,0,0,0,0.0,0.0,0.0,1.0,efficientnet_b7,fc_weight
features_0_0_weight,weight,1,1,0,0,0,1,0.0,0.0,1.0,0.0,efficientnet_b7,conv_weight
features_0_1_bias,bias,1,0,1,0,0,0,0.0,0.0,0.0,1.0,efficientnet_b7,bias
features_0_1_num_batches_tracked,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0,efficientnet_b7,buffer
features_0_1_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0,efficientnet_b7,buffer
features_0_1_running_var,buffer,1,1,0,0,1,0,0.0,1.0,0.0,0.0,efficientnet_b7,buffer
features_0_1_weight,weight,1,1,0,0,1,0,0.0,1.0,0.0,0.0,efficientnet_b7,conv_weight
features_1_0_block_0_0_weight,weight,1,1,0,1,0,0,1.0,0.0,0.0,0.0,efficientnet_b7,conv_weight
features_1_0_block_0_1_bias,bias,1,0,1,0,0,0,0.0,0.0,0.0,1.0,efficientnet_b7,bias
features_1_0_block_0_1_num_batches_tracked,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0,efficientnet_b7,buffer
features_1_0_block_0_1_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0,efficientnet_b7,buffer
features_1_0_block_0_1_running_var,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0,efficientnet_b7,buffer
features_1_0_block_0_1_weight,weight,1,0,1,0,0,0,0.0,0.0,0.0,1.0,efficientnet_b7,conv_weight
features_1_0_block_1_fc1_bias,bias,1,1,0,0,0,1,0.0,0.0,1.0,0.0,efficientnet_b7,bias
features_1_0_block_1_fc1_weight,weight,1,1,0,1,0,0,1.0,0.0,0.0,0.0,efficientnet_b7,mlp_weight
features_1_0_block_1_fc2_bias,bias,1,0,1,0,0,0,0.0,0.0,0.0,1.0,efficientnet_b7,bias
features_1_0_block_1_fc2_weight,weight,1,1,0,0,1,0,0.0,1.0,0.0,0.0,efficientnet_b7,mlp_weight
features_1_0_block_2_0_weight,weight,1,1,0,0,0,1,0.0,0.0,1.0,0.0,efficientnet_b7,conv_weight
features_1_0_block_2_1_bias,bias,1,0,1,0,0,0,0.0,0.0,0.0,1.0,efficientnet_b7,bias
features_1_0_block_2_1_num_batches_tracked,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0,efficientnet_b7,buffer
features_1_0_block_2_1_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0,efficientnet_b7,buffer
features_1_0_block_2_1_running_var,buffer,1,1,0,0,1,0,0.0,1.0,0.0,0.0,efficientnet_b7,buffer
features_1_0_block_2_1_weight,weight,1,0,1,0,0,0,0.0,0.0,0.0,1.0,efficientnet_b7,conv_weight
features_1_1_block_0_0_weight,weight,1,1,0,1,0,0,1.0,0.0,0.0,0.0,efficientnet_b7,conv_weight
features_1_1_block_0_1_bias,bias,1,0,1,0,0,0,0.0,0.0,0.0,1.0,efficientnet_b7,bias
features_1_1_block_0_1_num_batches_tracked,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0,efficientnet_b7,buffer
features_1_1_block_0_1_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0,efficientnet_b7,buffer
features_1_1_block_0_1_running_var,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0,efficientnet_b7,buffer
features_1_1_block_0_1_weight,weight,1,1,0,0,1,0,0.0,1.0,0.0,0.0,efficientnet_b7,conv_weight
features_1_1_block_1_fc1_bias,bias,1,0,1,0,0,0,0.0,0.0,0.0,1.0,efficientnet_b7,bias
features_1_1_block_1_fc1_weight,weight,1,1,0,1,0,0,1.0,0.0,0.0,0.0,efficientnet_b7,mlp_weight
features_1_1_block_1_fc2_bias,bias,1,0,1,0,0,0,0.0,0.0,0.0,1.0,efficientnet_b7,bias
features_1_1_block_1_fc2_weight,weight,1,1,0,0,1,0,0.0,1.0,0.0,0.0,efficientnet_b7,mlp_weight
features_1_1_block_2_0_weight,weight,1,1,0,1,0,0,1.0,0.0,0.0,0.0,efficientnet_b7,conv_weight
features_1_1_block_2_1_bias,bias,1,0,1,0,0,0,0.0,0.0,0.0,1.0,efficientnet_b7,bias
features_1_1_block_2_1_num_batches_tracked,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0,efficientnet_b7,buffer
features_1_1_block_2_1_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0,efficientnet_b7,buffer
features_1_1_block_2_1_running_var,buffer,1,1,0,0,1,0,0.0,1.0,0.0,0.0,efficientnet_b7,buffer
features_1_1_block_2_1_weight,weight,1,0,1,0,0,0,0.0,0.0,0.0,1.0,efficientnet_b7,conv_weight
features_1_2_block_0_0_weight,weight,1,1,0,1,0,0,1.0,0.0,0.0,0.0,efficientnet_b7,conv_weight
features_1_2_block_0_1_bias,bias,1,0,1,0,0,0,0.0,0.0,0.0,1.0,efficientnet_b7,bias
features_1_2_block_0_1_num_batches_tracked,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0,efficientnet_b7,buffer
features_1_2_block_0_1_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0,efficientnet_b7,buffer
features_1_2_block_0_1_running_var,buffer,1,1,0,0,1,0,0.0,1.0,0.0,0.0,efficientnet_b7,buffer
features_1_2_block_0_1_weight,weight,1,0,1,0,0,0,0.0,0.0,0.0,1.0,efficientnet_b7,conv_weight
features_1_2_block_1_fc1_bias,bias,1,0,1,0,0,0,0.0,0.0,0.0,1.0,efficientnet_b7,bias
features_1_2_block_1_fc1_weight,weight,1,1,0,1,0,0,1.0,0.0,0.0,0.0,efficientnet_b7,mlp_weight
features_1_2_block_1_fc2_bias,bias,1,0,1,0,0,0,0.0,0.0,0.0,1.0,efficientnet_b7,bias
